content,content_stemmed_no_common_2,content_regex,content_regex_norm,text_clean,_tokens,tokens_clean,score,sentiment,reviewCreatedVersion,major_version,at,thumbsUpCount
hehhh anda yaaa saya padahal udah ber ulang ulang loh pilih kursiiii knp malah pas di cetak kaga berubah anjerrrr 👺👺👺👺👺👺,hehhh ber ulang ulang loh pilih kursiiii pas cetak kagak ubah anjerrrr,hehh ber ulang ulang loh pilih kursii pas cetak kagak ubah anjerr,heh ber ulang ulang loh pilih kursii pas cetak kagak ubah anjer,heh ber ulang ulang loh pilih pas cetak kagak ubah,"['heh', 'ber', 'ulang', 'ulang', 'loh', 'pilih', 'kursii', 'pas', 'cetak', 'kagak', 'ubah', 'anjer']","['heh', 'ber', 'ulang', 'ulang', 'loh', 'pilih', 'pas', 'cetak', 'kagak', 'ubah']",2,negative,,nan,2025-07-08 03:03:36,0
cek in tambah mudah dan sangat membantu,cek mudah bantu,cek mudah bantu,cek mudah bantu,cek mudah bantu,"['cek', 'mudah', 'bantu']","['cek', 'mudah', 'bantu']",5,positive,6.15.1,6,2025-07-01 06:50:50,3
haloo mau tanya dong kak??? untuk pengaktifan fly garuda apa perlu via telfon,haloo kak aktif fly via telfon,haloo kak aktif fly via telfon,haloo kak aktif fly via telfon,kak aktif fly via telfon,"['haloo', 'kak', 'aktif', 'fly', 'via', 'telfon']","['kak', 'aktif', 'fly', 'via', 'telfon']",3,neutral,6.16.0,6,2025-06-29 08:59:59,0
beli tiket garuda segampang ini tinggal pecet dari rumah tiket garuda udah ada ditangan sukses terus buat garuda indonesia kalo bs harga tiket garuda kasih diskon atau potongan bos,beli tiket gampang tinggal pecet rumah tiket tang sukses indonesia kalo harga tiket kasih diskon potong bos,beli tiket gampang tinggal pecet rumah tiket tang sukses indonesia kalo harga tiket kasih diskon potong bos,beli tiket gampang tinggal pecet rumah tiket tang sukses indonesia kalo harga tiket kasih diskon potong bos,beli tiket gampang tinggal rumah tiket sukses indonesia kalo harga tiket kasih diskon potong bos,"['beli', 'tiket', 'gampang', 'tinggal', 'pecet', 'rumah', 'tiket', 'tang', 'sukses', 'indonesia', 'kalo', 'harga', 'tiket', 'kasih', 'diskon', 'potong', 'bos']","['beli', 'tiket', 'gampang', 'tinggal', 'rumah', 'tiket', 'sukses', 'indonesia', 'kalo', 'harga', 'tiket', 'kasih', 'diskon', 'potong', 'bos']",5,positive,6.16.0,6,2025-06-28 11:37:58,3
"aplikasi jelek, saya sudah bayar 7.8 juta melalui cc bni berhasil, cc saya terpotong tapi di fly garuda status pembayaran tidak berhasil dan status booking tiket hilang,sudah confirm ke bni pembayaran berhasil namun respon dari garuda lama sudah komplain melalui email, wa dan live chat sampai saat ini sdh 3 hari sejak pembayaran status tiket saya blm ada",jelek bayar 78 juta cc bni hasil cc potong fly status bayar hasil status booking tiket hilangsudah confirm bni bayar hasil respon komplain email wa live chat 3 bayar status tiket,jelek bayar juta cc bni hasil cc potong fly status bayar hasil status booking tiket hilangsudah confirm bni bayar hasil respon komplain email wa live chat bayar status tiket,jelek bayar juta c bni hasil c potong fly status bayar hasil status booking tiket hilangsudah confirm bni bayar hasil respon komplain email wa live chat bayar status tiket,jelek bayar juta c bni hasil c potong fly status bayar hasil status booking tiket confirm bni bayar hasil respon komplain email wa live chat bayar status tiket,"['jelek', 'bayar', 'juta', 'c', 'bni', 'hasil', 'c', 'potong', 'fly', 'status', 'bayar', 'hasil', 'status', 'booking', 'tiket', 'hilangsudah', 'confirm', 'bni', 'bayar', 'hasil', 'respon', 'komplain', 'email', 'wa', 'live', 'chat', 'bayar', 'status', 'tiket']","['jelek', 'bayar', 'juta', 'c', 'bni', 'hasil', 'c', 'potong', 'fly', 'status', 'bayar', 'hasil', 'status', 'booking', 'tiket', 'confirm', 'bni', 'bayar', 'hasil', 'respon', 'komplain', 'email', 'wa', 'live', 'chat', 'bayar', 'status', 'tiket']",1,negative,6.16.0,6,2025-06-28 11:27:21,43
sangat bermanfaat👍👍👍,manfaat,manfaat,manfat,manfat,['manfat'],['manfat'],5,positive,,nan,2025-06-24 17:01:22,0
"tidak bisa online check in krn error de garuda, cs dihub susah, sangat down grade pelayannya garuda, payah",online check error deh cs dihub susah down grade layan payah,online check error deh cs dihub susah down grade layan payah,online check error deh cs dihub susah down grade layan payah,online check error deh cs dihub susah down grade layan payah,"['online', 'check', 'error', 'deh', 'cs', 'dihub', 'susah', 'down', 'grade', 'layan', 'payah']","['online', 'check', 'error', 'deh', 'cs', 'dihub', 'susah', 'down', 'grade', 'layan', 'payah']",1,negative,6.16.0,6,2025-06-24 12:19:28,1
keren,keren,keren,keren,keren,['keren'],['keren'],5,positive,6.15.1,6,2025-06-18 00:03:19,0
"jazakumullah khair, semoga allah membalas kebaikan anda",jazakumullah khair moga allah balas baik,jazakumullah khair moga allah balas baik,jazakumullah khair moga allah balas baik,moga balas baik,"['jazakumullah', 'khair', 'moga', 'allah', 'balas', 'baik']","['moga', 'balas', 'baik']",5,positive,,nan,2025-06-14 23:57:24,0
kru-nya maling guys,kru maling guys,kru maling guys,kru maling guys,maling,"['kru', 'maling', 'guys']",['maling'],1,negative,6.15.1,6,2025-06-10 22:35:50,0
is okey.... 👌👍👍,is okey,is okey,is okey,is okey,"['is', 'okey']","['is', 'okey']",5,positive,6.15.1,6,2025-06-03 12:08:03,0
aplikasi bapuk,bapuk,bapuk,bapuk,bapuk,['bapuk'],['bapuk'],1,negative,6.15.1,6,2025-06-02 14:41:12,0
udah check in mau cetak failed mau kirim ulang udah gak aada tombol unduh/cetak.. gimana sihh garuda ...tolong di benahi lagi contoh maskapai sebelah tuh simpel,check cetak failed kirim ulang aada tombol unduhcetak sih tolong benah contoh maskapai belah tuh simpel,check cetak failed kirim ulang aada tombol unduhcetak sih tolong benah contoh maskapai belah tuh simpel,check cetak failed kirim ulang aada tombol unduhcetak sih tolong benah contoh maskapai belah tuh simpel,check cetak failed kirim ulang tombol sih tolong benah contoh maskapai belah tuh simpel,"['check', 'cetak', 'failed', 'kirim', 'ulang', 'aada', 'tombol', 'unduhcetak', 'sih', 'tolong', 'benah', 'contoh', 'maskapai', 'belah', 'tuh', 'simpel']","['check', 'cetak', 'failed', 'kirim', 'ulang', 'tombol', 'sih', 'tolong', 'benah', 'contoh', 'maskapai', 'belah', 'tuh', 'simpel']",1,negative,6.15.1,6,2025-05-26 16:30:08,15
good,good,good,good,good,['good'],['good'],5,positive,,nan,2025-05-24 05:05:27,0
"garuda belum sempurna tapi apa boleh buat caranya tim masuk ada sedikit bangun dan ini mudah untuk memberi sebagai info terkait kerja tim, semoga anda terus merasa kan perintah selang jut nya dari tim wan menejer aplikasi untuk merekomendasikan dasi,🙏🙏🧠🤳👍👎🙏🤝",sempurna tim masuk bangun mudah info kait kerja tim moga perintah selang jut tim wan menejer rekomendasi dasi,sempurna tim masuk bangun mudah info kait kerja tim moga perintah selang jut tim wan menejer rekomendasi dasi,sempurna tim masuk bangun mudah info kait kerja tim moga perintah selang jut tim wan menejer rekomendasi dasi,sempurna tim masuk bangun mudah info kait kerja tim moga perintah selang tim rekomendasi,"['sempurna', 'tim', 'masuk', 'bangun', 'mudah', 'info', 'kait', 'kerja', 'tim', 'moga', 'perintah', 'selang', 'jut', 'tim', 'wan', 'menejer', 'rekomendasi', 'dasi']","['sempurna', 'tim', 'masuk', 'bangun', 'mudah', 'info', 'kait', 'kerja', 'tim', 'moga', 'perintah', 'selang', 'tim', 'rekomendasi']",5,positive,6.15.1,6,2025-05-21 19:38:49,0
ok,ok,ok,ok,ok,['ok'],['ok'],5,positive,6.15.1,6,2025-05-18 14:31:10,0
ok,ok,ok,ok,ok,['ok'],['ok'],5,positive,6.15.1,6,2025-05-18 03:08:41,0
aplikasi nya gk bs buat booking number seat.. kalah sama aplikasi maskapai yg lainnya,booking number seat kalah maskapai,booking number seat kalah maskapai,booking number seat kalah maskapai,booking number seat kalah maskapai,"['booking', 'number', 'seat', 'kalah', 'maskapai']","['booking', 'number', 'seat', 'kalah', 'maskapai']",3,neutral,,nan,2025-05-14 13:51:07,0
fitur manage my booking sudah dihapus ya?,fitur manage my booking hapus,fitur manage my booking hapus,fitur manage my booking hapus,fitur manage my booking hapus,"['fitur', 'manage', 'my', 'booking', 'hapus']","['fitur', 'manage', 'my', 'booking', 'hapus']",3,neutral,6.15.1,6,2025-05-14 12:48:12,0
"bagus, awal saya naik pesawat dimana milih garuda langsung, masuk cekin ke apk, mudah dan membantu. thankyou",bagus pesawat mana pilih langsung masuk cekin apk mudah bantu thankyou,bagus pesawat mana pilih langsung masuk cekin apk mudah bantu thankyou,bagus pesawat mana pilih langsung masuk cekin apk mudah bantu thankyou,bagus pesawat mana pilih langsung masuk cekin apk mudah bantu thankyou,"['bagus', 'pesawat', 'mana', 'pilih', 'langsung', 'masuk', 'cekin', 'apk', 'mudah', 'bantu', 'thankyou']","['bagus', 'pesawat', 'mana', 'pilih', 'langsung', 'masuk', 'cekin', 'apk', 'mudah', 'bantu', 'thankyou']",5,positive,6.15.0,6,2025-05-03 02:48:43,24
oke,oke,oke,oke,oke,['oke'],['oke'],5,positive,6.14.1,6,2025-04-19 04:53:22,0
seberapa mahal ga,mahal,mahal,mahal,mahal,['mahal'],['mahal'],5,positive,,nan,2025-04-18 13:03:47,0
"aplikasinya lemot, maskapainya tidak infant family friendly.",lot maskapai infant family friendly,lot maskapai infant family friendly,lot maskapai infant family friendly,lot maskapai infant friendly,"['lot', 'maskapai', 'infant', 'family', 'friendly']","['lot', 'maskapai', 'infant', 'friendly']",1,negative,6.14.1,6,2025-04-13 14:49:52,1
garuda ontime,ontime,ontime,ontime,ontime,['ontime'],['ontime'],5,positive,6.14.1,6,2025-04-10 07:40:30,0
tampilan bagus dg logo garuda,tampil bagus logo,tampil bagus logo,tampil bagus logo,tampil bagus,"['tampil', 'bagus', 'logo']","['tampil', 'bagus']",5,positive,6.14.1,6,2025-04-09 13:56:50,0
untuk membuka aplikasi fly garuda tidak mudah dengan wifi yg kualitas rendah tidak seperti aplikasi penerbangan luar negri atau aplikasi banking lain nya .,buka fly mudah wifi kualitas rendah terbang negeri banking,buka fly mudah wifi kualitas rendah terbang negeri banking,buka fly mudah wifi kualitas rendah terbang negeri banking,buka fly mudah wifi kualitas terbang negeri banking,"['buka', 'fly', 'mudah', 'wifi', 'kualitas', 'rendah', 'terbang', 'negeri', 'banking']","['buka', 'fly', 'mudah', 'wifi', 'kualitas', 'terbang', 'negeri', 'banking']",3,neutral,6.14.1,6,2025-04-09 04:00:35,3
buruk sekali...asal pindah2 seat org sembrgn saja...di komplain gak bisa ngasih solusi...malah di lempar2..gak profesional banget...gak ada notifikasi klo dipindah seat..perbaiki tuh aplikasinya klo masih bs dipindah2 asal2an ma situ...mana skrg peswt pnas lg klo blm take off...buat kesel org...kecewa,buruk sekaliasal pindah2 seat orang sembrgn sajadi komplain asih solusimalah lempar2gak profesional bangetgak notifikasi kalo pindah seatperbaiki tuh kalo dipindah2 asal2an situmana peswt pnas kalo take offbuat kesel orgkecewa,buruk sekaliasal pindah seat orang sembrgn sajadi komplain asih solusimalah lempar gak profesional bangetgak notifikasi kalo pindah seatperbaiki tuh kalo dipindah asal an situmana peswt pnas kalo take offbuat kesel orgkecewa,buruk sekaliasal pindah seat orang sembrgn sajadi komplain asih solusimalah lempar gak profesional bangetgak notifikasi kalo pindah seatperbaiki tuh kalo dipindah asal an situmana peswt pnas kalo take offbuat kesel orgkecewa,buruk pindah seat orang komplain asih lempar gak profesional notifikasi kalo pindah tuh kalo an kalo take kesel,"['buruk', 'sekaliasal', 'pindah', 'seat', 'orang', 'sembrgn', 'sajadi', 'komplain', 'asih', 'solusimalah', 'lempar', 'gak', 'profesional', 'bangetgak', 'notifikasi', 'kalo', 'pindah', 'seatperbaiki', 'tuh', 'kalo', 'dipindah', 'asal', 'an', 'situmana', 'peswt', 'pnas', 'kalo', 'take', 'offbuat', 'kesel', 'orgkecewa']","['buruk', 'pindah', 'seat', 'orang', 'komplain', 'asih', 'lempar', 'gak', 'profesional', 'notifikasi', 'kalo', 'pindah', 'tuh', 'kalo', 'an', 'kalo', 'take', 'kesel']",1,negative,6.14.1,6,2025-04-08 06:53:39,9
kiranya dapat dipertahankan,tahan,tahan,tahan,tahan,['tahan'],['tahan'],5,positive,,nan,2025-04-07 06:21:45,0
kecewa sekali refund tiket hanya dihargai 30% padahal sudah jauh hari di batalkan tau begitu mending dihanguskan ajalah tiket mudik saya...,kecewa refund tiket harga 30 batal tau mending hangus aja tiket mudik,kecewa refund tiket harga batal tau mending hangus aja tiket mudik,kecewa refund tiket harga batal tau mending hangus aja tiket mudik,kecewa refund tiket harga batal tau mending hangus aja tiket mudik,"['kecewa', 'refund', 'tiket', 'harga', 'batal', 'tau', 'mending', 'hangus', 'aja', 'tiket', 'mudik']","['kecewa', 'refund', 'tiket', 'harga', 'batal', 'tau', 'mending', 'hangus', 'aja', 'tiket', 'mudik']",1,negative,,nan,2025-04-05 22:36:17,0
maskapai rusak. barang ga diloading tapi ga konfirmasi ke pemilik. ditinggal begitu saja,maskapai rusak barang diloading konfirmasi milik tinggal,maskapai rusak barang diloading konfirmasi milik tinggal,maskapai rusak barang diloading konfirmasi milik tinggal,maskapai rusak konfirmasi milik tinggal,"['maskapai', 'rusak', 'barang', 'diloading', 'konfirmasi', 'milik', 'tinggal']","['maskapai', 'rusak', 'konfirmasi', 'milik', 'tinggal']",1,negative,,nan,2025-04-03 11:00:29,0
lagi cari tiket aplikasi keluar sendiri,cari tiket,cari tiket,cari tiket,cari tiket,"['cari', 'tiket']","['cari', 'tiket']",1,negative,6.14.1,6,2025-04-03 09:42:01,0
"aplikasi korup, buat apa dibikin klw chek in pun ngak bisa",korup bikin chek,korup bikin chek,korup bikin chek,korup bikin chek,"['korup', 'bikin', 'chek']","['korup', 'bikin', 'chek']",1,negative,,nan,2025-04-02 03:49:30,1
"aplikasi nya bagus, dan penjelasan semuanya sederhana dan dapat d mengerti, juga aplikasi nya gak bikin sakit buat d liat(mksdx gak banyak pilihan yg d tawarin) overall bagus",bagus jelas sederhana erti bikin sakit liatmksdx pilih tawarin overall bagus,bagus jelas sederhana erti bikin sakit liatmksdx pilih tawarin overall bagus,bagus jelas sederhana erti bikin sakit liatmksdx pilih tawarin overal bagus,bagus jelas sederhana erti bikin pilih overal bagus,"['bagus', 'jelas', 'sederhana', 'erti', 'bikin', 'sakit', 'liatmksdx', 'pilih', 'tawarin', 'overal', 'bagus']","['bagus', 'jelas', 'sederhana', 'erti', 'bikin', 'pilih', 'overal', 'bagus']",1,negative,6.14.1,6,2025-03-28 09:44:44,3
pelayanan yg baik.dan profesional,layan baikdan profesional,layan baikdan profesional,layan baikdan profesional,layan profesional,"['layan', 'baikdan', 'profesional']","['layan', 'profesional']",5,positive,6.8.3,6,2025-03-26 05:34:27,0
good,good,good,good,good,['good'],['good'],5,positive,6.12.0,6,2025-03-21 19:46:12,0
keren banget,keren banget,keren banget,keren banget,keren banget,"['keren', 'banget']","['keren', 'banget']",5,positive,6.14.1,6,2025-03-21 16:45:02,0
"kebanyakan korupsi miles aja hilang terus,, gimana mau maju malu bnget gua jadi orang indonesia,,",banyak korupsi miles hilang maju malu banget gua orang indonesia,banyak korupsi miles hilang maju malu banget gua orang indonesia,banyak korupsi miles hilang maju malu banget gua orang indonesia,banyak korupsi miles hilang maju malu banget orang indonesia,"['banyak', 'korupsi', 'miles', 'hilang', 'maju', 'malu', 'banget', 'gua', 'orang', 'indonesia']","['banyak', 'korupsi', 'miles', 'hilang', 'maju', 'malu', 'banget', 'orang', 'indonesia']",1,negative,6.14.1,6,2025-03-14 05:56:47,1
"aplikasi muter muter mulu, dirincian penumpang gimana sih",muter muter mulu dirincian tumpang sih,muter muter mulu dirincian tumpang sih,muter muter mulu dirincian tumpang sih,muter muter mulu tumpang sih,"['muter', 'muter', 'mulu', 'dirincian', 'tumpang', 'sih']","['muter', 'muter', 'mulu', 'tumpang', 'sih']",1,negative,6.14.1,6,2025-03-14 05:01:24,0
"garuda seperti tidak serius atau tdk punya kemampuan utk membuat & mengelola aplikasi mobile. loading nya berat & selalu muncul notifikasi error, no internet connection, please try again, dll berulang-ulang yg membuat aplikasi sulit diakses. pdhal aplikasinya sdh diupdate serta diuninstall & install ulang. ini sdh terjadi cukup lama & blm terlihat ada upaya perbaikan atau setidaknya pemberitahuan. belum ada juga feature refund & reschedule. keluhan2 pengguna di play store pun tdk direspon baik.",serius mampu kelola mobile loading berat muncul notifikasi error no internet connection please try again dll berulangulang sulit akses diupdate diuninstall install ulang upaya baik pemberitahuan feature refund reschedule keluhan2 guna play store direspon,serius mampu kelola mobile loading berat muncul notifikasi error no internet connection please try again dll berulangulang sulit akses diupdate diuninstall install ulang upaya baik pemberitahuan feature refund reschedule keluhan guna play store direspon,serius mampu kelola mobile loading berat muncul notifikasi error no internet connection please try again dl berulangulang sulit akses diupdate diuninstal instal ulang upaya baik pemberitahuan feature refund reschedule keluhan guna play store direspon,serius kelola mobile loading berat muncul notifikasi error no internet connection please try again dl sulit akses diupdate diuninstal instal ulang baik pemberitahuan feature refund reschedule guna play store direspon,"['serius', 'mampu', 'kelola', 'mobile', 'loading', 'berat', 'muncul', 'notifikasi', 'error', 'no', 'internet', 'connection', 'please', 'try', 'again', 'dl', 'berulangulang', 'sulit', 'akses', 'diupdate', 'diuninstal', 'instal', 'ulang', 'upaya', 'baik', 'pemberitahuan', 'feature', 'refund', 'reschedule', 'keluhan', 'guna', 'play', 'store', 'direspon']","['serius', 'kelola', 'mobile', 'loading', 'berat', 'muncul', 'notifikasi', 'error', 'no', 'internet', 'connection', 'please', 'try', 'again', 'dl', 'sulit', 'akses', 'diupdate', 'diuninstal', 'instal', 'ulang', 'baik', 'pemberitahuan', 'feature', 'refund', 'reschedule', 'guna', 'play', 'store', 'direspon']",2,negative,,nan,2025-03-12 12:48:18,6
"tingkatkan lagi, aplikasi sudah bagus",tingkat bagus,tingkat bagus,tingkat bagus,tingkat bagus,"['tingkat', 'bagus']","['tingkat', 'bagus']",5,positive,6.14.1,6,2025-03-10 17:49:20,0
"setiap mengajukan claim miles di aplikasi ini selalu di reject, harus di perbaiki aplikasinya.",aju claim miles reject baik,aju claim miles reject baik,aju claim miles reject baik,aju claim miles baik,"['aju', 'claim', 'miles', 'reject', 'baik']","['aju', 'claim', 'miles', 'baik']",2,negative,6.14.0,6,2025-03-09 04:03:54,1
kami yg gaptek agak lama utk mengakses informasi di aplikasi ini.,gaptek akses informasi,gaptek akses informasi,gaptek akses informasi,akses informasi,"['gaptek', 'akses', 'informasi']","['akses', 'informasi']",4,positive,6.8.2,6,2025-02-23 05:07:59,0
aplikasi ini sangat bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],5,positive,6.13.0,6,2025-02-21 08:28:28,0
good,good,good,good,good,['good'],['good'],5,positive,6.12.2,6,2025-02-20 03:28:38,0
menenangkan hati bila dlm pesawat,tenang hati pesawat,tenang hati pesawat,tenang hati pesawat,tenang hati pesawat,"['tenang', 'hati', 'pesawat']","['tenang', 'hati', 'pesawat']",5,positive,6.12.2,6,2025-02-19 15:24:59,0
menyenangkan boomlking dg flygaruda,senang boomlking flygaruda,senang boomlking flygaruda,senang boomlking flygaruda,senang flygaruda,"['senang', 'boomlking', 'flygaruda']","['senang', 'flygaruda']",5,positive,6.13.0,6,2025-02-19 11:52:10,0
sangat recomended sejak dulu,recomended,recomended,recomended,recomended,['recomended'],['recomended'],5,positive,,nan,2025-02-19 03:10:29,0
