content,content_stemmed_no_common_2,content_regex,content_regex_norm,tokens_nltk,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
tidak bisa check in online,check online,check online,check online,"['check', 'online']",1,0,6.17.0,2025-07-18 16:50:50,,
mau booking aja susah dan tidak bisa diandalkan,booking susah andal,booking susah andal,booking susah andal,"['booking', 'susah', 'andal']",1,0,,2025-07-11 05:35:14,,
hehhh anda yaaa saya padahal udah ber ulang ulang loh pilih kursiiii knp malah pas di cetak kaga berubah anjerrrr 👺👺👺👺👺👺,hehhh ber ulang ulang loh pilih kursiiii pas cetak kagak ubah anjerrrr,hehh ber ulang ulang loh pilih kursii pas cetak kagak ubah anjerr,heh ber ulang ulang loh pilih kursii pas cetak kagak ubah anjer,"['heh', 'ber', 'ulang', 'ulang', 'loh', 'pilih', 'kursii', 'pas', 'cetak', 'kagak', 'ubah', 'anjer']",2,0,,2025-07-08 03:03:36,,
cek in tambah mudah dan sangat membantu,cek mudah bantu,cek mudah bantu,cek mudah bantu,"['cek', 'mudah', 'bantu']",5,3,6.15.1,2025-07-01 06:50:50,,
haloo mau tanya dong kak??? untuk pengaktifan fly garuda apa perlu via telfon,haloo kak aktif fly via telfon,haloo kak aktif fly via telfon,haloo kak aktif fly via telfon,"['haloo', 'kak', 'aktif', 'fly', 'via', 'telfon']",3,0,6.16.0,2025-06-29 08:59:59,,
beli tiket garuda segampang ini tinggal pecet dari rumah tiket garuda udah ada ditangan sukses terus buat garuda indonesia kalo bs harga tiket garuda kasih diskon atau potongan bos,beli tiket gampang tinggal pecet rumah tiket tang sukses indonesia kalo harga tiket kasih diskon potong bos,beli tiket gampang tinggal pecet rumah tiket tang sukses indonesia kalo harga tiket kasih diskon potong bos,beli tiket gampang tinggal pecet rumah tiket tang sukses indonesia kalo harga tiket kasih diskon potong bos,"['beli', 'tiket', 'gampang', 'tinggal', 'pecet', 'rumah', 'tiket', 'tang', 'sukses', 'indonesia', 'kalo', 'harga', 'tiket', 'kasih', 'diskon', 'potong', 'bos']",5,3,6.16.0,2025-06-28 11:37:58,,
"aplikasi jelek, saya sudah bayar 7.8 juta melalui cc bni berhasil, cc saya terpotong tapi di fly garuda status pembayaran tidak berhasil dan status booking tiket hilang,sudah confirm ke bni pembayaran berhasil namun respon dari garuda lama sudah komplain melalui email, wa dan live chat sampai saat ini sdh 3 hari sejak pembayaran status tiket saya blm ada",jelek bayar 78 juta cc bni hasil cc potong fly status bayar hasil status booking tiket hilangsudah confirm bni bayar hasil respon komplain email wa live chat 3 bayar status tiket,jelek bayar juta cc bni hasil cc potong fly status bayar hasil status booking tiket hilangsudah confirm bni bayar hasil respon komplain email wa live chat bayar status tiket,jelek bayar juta c bni hasil c potong fly status bayar hasil status booking tiket hilangsudah confirm bni bayar hasil respon komplain email wa live chat bayar status tiket,"['jelek', 'bayar', 'juta', 'c', 'bni', 'hasil', 'c', 'potong', 'fly', 'status', 'bayar', 'hasil', 'status', 'booking', 'tiket', 'hilangsudah', 'confirm', 'bni', 'bayar', 'hasil', 'respon', 'komplain', 'email', 'wa', 'live', 'chat', 'bayar', 'status', 'tiket']",1,43,6.16.0,2025-06-28 11:27:21,,
sangat bermanfaat👍👍👍,manfaat,manfaat,manfat,['manfat'],5,0,,2025-06-24 17:01:22,,
"tidak bisa online check in krn error de garuda, cs dihub susah, sangat down grade pelayannya garuda, payah",online check error deh cs dihub susah down grade layan payah,online check error deh cs dihub susah down grade layan payah,online check error deh cs dihub susah down grade layan payah,"['online', 'check', 'error', 'deh', 'cs', 'dihub', 'susah', 'down', 'grade', 'layan', 'payah']",1,1,6.16.0,2025-06-24 12:19:28,,
keren,keren,keren,keren,['keren'],5,0,6.15.1,2025-06-18 00:03:19,,
"jazakumullah khair, semoga allah membalas kebaikan anda",jazakumullah khair moga allah balas baik,jazakumullah khair moga allah balas baik,jazakumullah khair moga allah balas baik,"['jazakumullah', 'khair', 'moga', 'allah', 'balas', 'baik']",5,0,,2025-06-14 23:57:24,,
kru-nya maling guys,kru maling guys,kru maling guys,kru maling guys,"['kru', 'maling', 'guys']",1,0,6.15.1,2025-06-10 22:35:50,,
is okey.... 👌👍👍,is okey,is okey,is okey,"['is', 'okey']",5,0,6.15.1,2025-06-03 12:08:03,,
aplikasi bapuk,bapuk,bapuk,bapuk,['bapuk'],1,0,6.15.1,2025-06-02 14:41:12,,
udah check in mau cetak failed mau kirim ulang udah gak aada tombol unduh/cetak.. gimana sihh garuda ...tolong di benahi lagi contoh maskapai sebelah tuh simpel,check cetak failed kirim ulang aada tombol unduhcetak sih tolong benah contoh maskapai belah tuh simpel,check cetak failed kirim ulang aada tombol unduhcetak sih tolong benah contoh maskapai belah tuh simpel,check cetak failed kirim ulang aada tombol unduhcetak sih tolong benah contoh maskapai belah tuh simpel,"['check', 'cetak', 'failed', 'kirim', 'ulang', 'aada', 'tombol', 'unduhcetak', 'sih', 'tolong', 'benah', 'contoh', 'maskapai', 'belah', 'tuh', 'simpel']",1,15,6.15.1,2025-05-26 16:30:08,,
good,good,good,good,['good'],5,0,,2025-05-24 05:05:27,,
"garuda belum sempurna tapi apa boleh buat caranya tim masuk ada sedikit bangun dan ini mudah untuk memberi sebagai info terkait kerja tim, semoga anda terus merasa kan perintah selang jut nya dari tim wan menejer aplikasi untuk merekomendasikan dasi,🙏🙏🧠🤳👍👎🙏🤝",sempurna tim masuk bangun mudah info kait kerja tim moga perintah selang jut tim wan menejer rekomendasi dasi,sempurna tim masuk bangun mudah info kait kerja tim moga perintah selang jut tim wan menejer rekomendasi dasi,sempurna tim masuk bangun mudah info kait kerja tim moga perintah selang jut tim wan menejer rekomendasi dasi,"['sempurna', 'tim', 'masuk', 'bangun', 'mudah', 'info', 'kait', 'kerja', 'tim', 'moga', 'perintah', 'selang', 'jut', 'tim', 'wan', 'menejer', 'rekomendasi', 'dasi']",5,0,6.15.1,2025-05-21 19:38:49,,
ok,ok,ok,ok,['ok'],5,0,6.15.1,2025-05-18 14:31:10,,
ok,ok,ok,ok,['ok'],5,0,6.15.1,2025-05-18 03:08:41,,
aplikasi nya gk bs buat booking number seat.. kalah sama aplikasi maskapai yg lainnya,booking number seat kalah maskapai,booking number seat kalah maskapai,booking number seat kalah maskapai,"['booking', 'number', 'seat', 'kalah', 'maskapai']",3,0,,2025-05-14 13:51:07,,
fitur manage my booking sudah dihapus ya?,fitur manage my booking hapus,fitur manage my booking hapus,fitur manage my booking hapus,"['fitur', 'manage', 'my', 'booking', 'hapus']",3,0,6.15.1,2025-05-14 12:48:12,,
"bagus, awal saya naik pesawat dimana milih garuda langsung, masuk cekin ke apk, mudah dan membantu. thankyou",bagus pesawat mana pilih langsung masuk cekin apk mudah bantu thankyou,bagus pesawat mana pilih langsung masuk cekin apk mudah bantu thankyou,bagus pesawat mana pilih langsung masuk cekin apk mudah bantu thankyou,"['bagus', 'pesawat', 'mana', 'pilih', 'langsung', 'masuk', 'cekin', 'apk', 'mudah', 'bantu', 'thankyou']",5,24,6.15.0,2025-05-03 02:48:43,,
oke,oke,oke,oke,['oke'],5,0,6.14.1,2025-04-19 04:53:22,,
seberapa mahal ga,mahal,mahal,mahal,['mahal'],5,0,,2025-04-18 13:03:47,,
"aplikasinya lemot, maskapainya tidak infant family friendly.",lot maskapai infant family friendly,lot maskapai infant family friendly,lot maskapai infant family friendly,"['lot', 'maskapai', 'infant', 'family', 'friendly']",1,1,6.14.1,2025-04-13 14:49:52,,
garuda ontime,ontime,ontime,ontime,['ontime'],5,0,6.14.1,2025-04-10 07:40:30,,
tampilan bagus dg logo garuda,tampil bagus logo,tampil bagus logo,tampil bagus logo,"['tampil', 'bagus', 'logo']",5,0,6.14.1,2025-04-09 13:56:50,,
untuk membuka aplikasi fly garuda tidak mudah dengan wifi yg kualitas rendah tidak seperti aplikasi penerbangan luar negri atau aplikasi banking lain nya .,buka fly mudah wifi kualitas rendah terbang negeri banking,buka fly mudah wifi kualitas rendah terbang negeri banking,buka fly mudah wifi kualitas rendah terbang negeri banking,"['buka', 'fly', 'mudah', 'wifi', 'kualitas', 'rendah', 'terbang', 'negeri', 'banking']",3,3,6.14.1,2025-04-09 04:00:35,,
buruk sekali...asal pindah2 seat org sembrgn saja...di komplain gak bisa ngasih solusi...malah di lempar2..gak profesional banget...gak ada notifikasi klo dipindah seat..perbaiki tuh aplikasinya klo masih bs dipindah2 asal2an ma situ...mana skrg peswt pnas lg klo blm take off...buat kesel org...kecewa,buruk sekaliasal pindah2 seat orang sembrgn sajadi komplain asih solusimalah lempar2gak profesional bangetgak notifikasi kalo pindah seatperbaiki tuh kalo dipindah2 asal2an situmana peswt pnas kalo take offbuat kesel orgkecewa,buruk sekaliasal pindah seat orang sembrgn sajadi komplain asih solusimalah lempar gak profesional bangetgak notifikasi kalo pindah seatperbaiki tuh kalo dipindah asal an situmana peswt pnas kalo take offbuat kesel orgkecewa,buruk sekaliasal pindah seat orang sembrgn sajadi komplain asih solusimalah lempar gak profesional bangetgak notifikasi kalo pindah seatperbaiki tuh kalo dipindah asal an situmana peswt pnas kalo take offbuat kesel orgkecewa,"['buruk', 'sekaliasal', 'pindah', 'seat', 'orang', 'sembrgn', 'sajadi', 'komplain', 'asih', 'solusimalah', 'lempar', 'gak', 'profesional', 'bangetgak', 'notifikasi', 'kalo', 'pindah', 'seatperbaiki', 'tuh', 'kalo', 'dipindah', 'asal', 'an', 'situmana', 'peswt', 'pnas', 'kalo', 'take', 'offbuat', 'kesel', 'orgkecewa']",1,9,6.14.1,2025-04-08 06:53:39,,
kiranya dapat dipertahankan,tahan,tahan,tahan,['tahan'],5,0,,2025-04-07 06:21:45,,
kecewa sekali refund tiket hanya dihargai 30% padahal sudah jauh hari di batalkan tau begitu mending dihanguskan ajalah tiket mudik saya...,kecewa refund tiket harga 30 batal tau mending hangus aja tiket mudik,kecewa refund tiket harga batal tau mending hangus aja tiket mudik,kecewa refund tiket harga batal tau mending hangus aja tiket mudik,"['kecewa', 'refund', 'tiket', 'harga', 'batal', 'tau', 'mending', 'hangus', 'aja', 'tiket', 'mudik']",1,0,,2025-04-05 22:36:17,,
maskapai rusak. barang ga diloading tapi ga konfirmasi ke pemilik. ditinggal begitu saja,maskapai rusak barang diloading konfirmasi milik tinggal,maskapai rusak barang diloading konfirmasi milik tinggal,maskapai rusak barang diloading konfirmasi milik tinggal,"['maskapai', 'rusak', 'barang', 'diloading', 'konfirmasi', 'milik', 'tinggal']",1,0,,2025-04-03 11:00:29,,
lagi cari tiket aplikasi keluar sendiri,cari tiket,cari tiket,cari tiket,"['cari', 'tiket']",1,0,6.14.1,2025-04-03 09:42:01,,
"aplikasi korup, buat apa dibikin klw chek in pun ngak bisa",korup bikin chek,korup bikin chek,korup bikin chek,"['korup', 'bikin', 'chek']",1,1,,2025-04-02 03:49:30,,
"aplikasi nya bagus, dan penjelasan semuanya sederhana dan dapat d mengerti, juga aplikasi nya gak bikin sakit buat d liat(mksdx gak banyak pilihan yg d tawarin) overall bagus",bagus jelas sederhana erti bikin sakit liatmksdx pilih tawarin overall bagus,bagus jelas sederhana erti bikin sakit liatmksdx pilih tawarin overall bagus,bagus jelas sederhana erti bikin sakit liatmksdx pilih tawarin overal bagus,"['bagus', 'jelas', 'sederhana', 'erti', 'bikin', 'sakit', 'liatmksdx', 'pilih', 'tawarin', 'overal', 'bagus']",1,3,6.14.1,2025-03-28 09:44:44,,
pelayanan yg baik.dan profesional,layan baikdan profesional,layan baikdan profesional,layan baikdan profesional,"['layan', 'baikdan', 'profesional']",5,0,6.8.3,2025-03-26 05:34:27,,
good,good,good,good,['good'],5,0,6.12.0,2025-03-21 19:46:12,,
keren banget,keren banget,keren banget,keren banget,"['keren', 'banget']",5,0,6.14.1,2025-03-21 16:45:02,,
"kebanyakan korupsi miles aja hilang terus,, gimana mau maju malu bnget gua jadi orang indonesia,,",banyak korupsi miles hilang maju malu banget gua orang indonesia,banyak korupsi miles hilang maju malu banget gua orang indonesia,banyak korupsi miles hilang maju malu banget gua orang indonesia,"['banyak', 'korupsi', 'miles', 'hilang', 'maju', 'malu', 'banget', 'gua', 'orang', 'indonesia']",1,1,6.14.1,2025-03-14 05:56:47,,
"aplikasi muter muter mulu, dirincian penumpang gimana sih",muter muter mulu dirincian tumpang sih,muter muter mulu dirincian tumpang sih,muter muter mulu dirincian tumpang sih,"['muter', 'muter', 'mulu', 'dirincian', 'tumpang', 'sih']",1,0,6.14.1,2025-03-14 05:01:24,,
"garuda seperti tidak serius atau tdk punya kemampuan utk membuat & mengelola aplikasi mobile. loading nya berat & selalu muncul notifikasi error, no internet connection, please try again, dll berulang-ulang yg membuat aplikasi sulit diakses. pdhal aplikasinya sdh diupdate serta diuninstall & install ulang. ini sdh terjadi cukup lama & blm terlihat ada upaya perbaikan atau setidaknya pemberitahuan. belum ada juga feature refund & reschedule. keluhan2 pengguna di play store pun tdk direspon baik.",serius mampu kelola mobile loading berat muncul notifikasi error no internet connection please try again dll berulangulang sulit akses diupdate diuninstall install ulang upaya baik pemberitahuan feature refund reschedule keluhan2 guna play store direspon,serius mampu kelola mobile loading berat muncul notifikasi error no internet connection please try again dll berulangulang sulit akses diupdate diuninstall install ulang upaya baik pemberitahuan feature refund reschedule keluhan guna play store direspon,serius mampu kelola mobile loading berat muncul notifikasi error no internet connection please try again dl berulangulang sulit akses diupdate diuninstal instal ulang upaya baik pemberitahuan feature refund reschedule keluhan guna play store direspon,"['serius', 'mampu', 'kelola', 'mobile', 'loading', 'berat', 'muncul', 'notifikasi', 'error', 'no', 'internet', 'connection', 'please', 'try', 'again', 'dl', 'berulangulang', 'sulit', 'akses', 'diupdate', 'diuninstal', 'instal', 'ulang', 'upaya', 'baik', 'pemberitahuan', 'feature', 'refund', 'reschedule', 'keluhan', 'guna', 'play', 'store', 'direspon']",2,6,,2025-03-12 12:48:18,,
"tingkatkan lagi, aplikasi sudah bagus",tingkat bagus,tingkat bagus,tingkat bagus,"['tingkat', 'bagus']",5,0,6.14.1,2025-03-10 17:49:20,"Pelanggan Yth. Bapak. Zulfikar Abel. Terkait dengan case berikut, mohon dapat dikirimkan detail kendala yang dialami ke e-booking@garuda-indonesia.com untuk kami tindak lanjuti. Mohon maaf atas ketidaknyamanan yang terjadi. Demikian disampaikan. Hormat Kami, Garuda Indonesia.",2022-07-03 13:52:59
"setiap mengajukan claim miles di aplikasi ini selalu di reject, harus di perbaiki aplikasinya.",aju claim miles reject baik,aju claim miles reject baik,aju claim miles reject baik,"['aju', 'claim', 'miles', 'reject', 'baik']",2,1,6.14.0,2025-03-09 04:03:54,,
kami yg gaptek agak lama utk mengakses informasi di aplikasi ini.,gaptek akses informasi,gaptek akses informasi,gaptek akses informasi,"['gaptek', 'akses', 'informasi']",4,0,6.8.2,2025-02-23 05:07:59,,
aplikasi ini sangat bagus,bagus,bagus,bagus,['bagus'],5,0,6.13.0,2025-02-21 08:28:28,,
good,good,good,good,['good'],5,0,6.12.2,2025-02-20 03:28:38,,
menenangkan hati bila dlm pesawat,tenang hati pesawat,tenang hati pesawat,tenang hati pesawat,"['tenang', 'hati', 'pesawat']",5,0,6.12.2,2025-02-19 15:24:59,,
menyenangkan boomlking dg flygaruda,senang boomlking flygaruda,senang boomlking flygaruda,senang boomlking flygaruda,"['senang', 'boomlking', 'flygaruda']",5,0,6.13.0,2025-02-19 11:52:10,,
sangat recomended sejak dulu,recomended,recomended,recomended,['recomended'],5,0,,2025-02-19 03:10:29,,
sangat membantu dan bermanfaat,bantu manfaat,bantu manfaat,bantu manfat,"['bantu', 'manfat']",5,0,6.12.2,2025-02-18 04:26:13,,
tingkatkan terus dan agar otomatis penambahan miles saat sdh cek in,tingkat otomatis tambah miles cek,tingkat otomatis tambah miles cek,tingkat otomatis tambah miles cek,"['tingkat', 'otomatis', 'tambah', 'miles', 'cek']",5,6,6.12.2,2025-02-18 02:14:29,,
cukup easy to use,easy use,easy use,easy use,"['easy', 'use']",5,0,6.12.2,2025-02-17 13:50:59,,
mantap,mantap,mantap,mantap,['mantap'],5,0,6.12.2,2025-02-15 14:29:07,,
bagus bisa pesan online mudah aplikasinya sampai otomatis di arahkan mau beli tiketnya model layanannya juga,bagus pesan online mudah otomatis arah beli tiket model layan,bagus pesan online mudah otomatis arah beli tiket model layan,bagus pesan online mudah otomatis arah beli tiket model layan,"['bagus', 'pesan', 'online', 'mudah', 'otomatis', 'arah', 'beli', 'tiket', 'model', 'layan']",5,2,6.12.2,2025-02-15 13:36:45,,
aplikasi sampah,sampah,sampah,sampah,['sampah'],1,0,5.0.4,2025-02-14 07:50:04,,
lengkap gampang dan mudah pelayanan bagus sukses selalu 🙏👍,lengkap gampang mudah layan bagus sukses,lengkap gampang mudah layan bagus sukses,lengkap gampang mudah layan bagus sukses,"['lengkap', 'gampang', 'mudah', 'layan', 'bagus', 'sukses']",5,0,6.12.2,2025-02-13 23:07:12,,
mantaap,mantap,mantap,mantap,['mantap'],5,0,,2025-02-13 13:08:18,,
baik,,,,[],5,0,6.9.1,2025-02-13 06:12:26,,
sangat keren dan berkualitas,keren kualitas,keren kualitas,keren kualitas,"['keren', 'kualitas']",5,0,6.12.2,2025-02-12 05:10:35,,
"gak ada gunanya install ini, kalau sdhnpesan tiket mau reschedule atau mau refund harus melalui contacf center wa dan tdk pernah di balas. datang ke kantor tdk mau dilayani karena beli melalui web., padahal saya member platinum. alangkah baiknya walaupun beli m.elalui aplikasi atau web bisa refund melalui kantor.",guna install sdhnpesan tiket reschedule refund contacf center wa balas kantor layan beli web member platinum alangkah baik beli web refund kantor,guna install sdhnpesan tiket reschedule refund contacf center wa balas kantor layan beli web member platinum alangkah baik beli web refund kantor,guna instal sdhnpesan tiket reschedule refund contacf center wa balas kantor layan beli web member platinum alangkah baik beli web refund kantor,"['guna', 'instal', 'sdhnpesan', 'tiket', 'reschedule', 'refund', 'contacf', 'center', 'wa', 'balas', 'kantor', 'layan', 'beli', 'web', 'member', 'platinum', 'alangkah', 'baik', 'beli', 'web', 'refund', 'kantor']",1,8,6.12.1,2025-02-07 09:45:38,,
very good,very good,very good,very good,"['very', 'good']",5,0,6.12.1,2025-02-05 08:06:59,,
susah check in,susah check,susah check,susah check,"['susah', 'check']",1,0,6.12.1,2025-02-04 14:48:16,,
"aplikasi tidak bisa digunakan utk anggota miles yg lama, jd hrs buat yg baru dan dimulai dr 0 lg kl pake yg baru. aplikasinya buruk.",anggota miles 0 kalo pakai buruk,anggota miles kalo pakai buruk,anggota miles kalo pakai buruk,"['anggota', 'miles', 'kalo', 'pakai', 'buruk']",1,0,,2025-02-03 11:10:37,,
anggakasman,anggakasman,anggakasman,anggakasman,['anggakasman'],5,0,6.12.1,2025-01-29 08:53:20,,
ribet cari boarding pass ga keluar2,ribet cari boarding pas keluar2,ribet cari boarding pas keluar,ribet cari boarding pas keluar,"['ribet', 'cari', 'boarding', 'pas', 'keluar']",1,0,6.12.0,2025-01-25 06:26:13,,
"tampilan bagus dan warna biru seperti langit, dimudahkan untuk memesan tiket online, tidak perlu antri ke loket, cepat dan tidak repot. mantap",tampil bagus warna biru langit mudah mes tiket online antri loket cepat repot mantap,tampil bagus warna biru langit mudah mes tiket online antri loket cepat repot mantap,tampil bagus warna biru langit mudah mes tiket online antri loket cepat repot mantap,"['tampil', 'bagus', 'warna', 'biru', 'langit', 'mudah', 'mes', 'tiket', 'online', 'antri', 'loket', 'cepat', 'repot', 'mantap']",5,17,6.12.0,2025-01-22 12:16:15,,
"sangat buruk utk garuda miles. mau booking nyari tanggal aja disuruh masukin otp yg dikirim ke email. nyari tgl 11 dsru masukin otp eh ternyata penerbanganx ga ada, nyari tgl 12 masukin otp baru lagi jam penerbangan terlalu malam, nyari tgl 13 dst masukin otp baru lagi yg terus2an dikirim ke email. gila kali yah , cuma mau liat ada apa engganya penerbangan aja ribet banget, parah si, masih bagusan aplikasi citilink deh, simple ngga ribet suruh trus2an isi2 nggu otp dr email 😭😭 tolong diupdate",buruk miles booking cari tanggal suruh pasuk otp kirim email cari tanggal 11 dsru pasuk otp eh penerbanganx cari tanggal 12 pasuk otp jam terbang malam cari tanggal 13 dst pasuk otp terusterusan kirim email gila kali lihat engganya terbang ribet banget parah si bagus citilink deh simple ribet suruh trus2an isi2 nggu otp email tolong diupdate,buruk miles booking cari tanggal suruh pasuk otp kirim email cari tanggal dsru pasuk otp eh penerbanganx cari tanggal pasuk otp jam terbang malam cari tanggal dst pasuk otp terusterusan kirim email gila kali lihat engganya terbang ribet banget parah si bagus citilink deh simple ribet suruh trus an isi nggu otp email tolong diupdate,buruk miles booking cari tanggal suruh pasuk otp kirim email cari tanggal dsru pasuk otp eh penerbanganx cari tanggal pasuk otp jam terbang malam cari tanggal dst pasuk otp terusterusan kirim email gila kali lihat engganya terbang ribet banget parah si bagus citilink deh simple ribet suruh trus an isi nggu otp email tolong diupdate,"['buruk', 'miles', 'booking', 'cari', 'tanggal', 'suruh', 'pasuk', 'otp', 'kirim', 'email', 'cari', 'tanggal', 'dsru', 'pasuk', 'otp', 'eh', 'penerbanganx', 'cari', 'tanggal', 'pasuk', 'otp', 'jam', 'terbang', 'malam', 'cari', 'tanggal', 'dst', 'pasuk', 'otp', 'terusterusan', 'kirim', 'email', 'gila', 'kali', 'lihat', 'engganya', 'terbang', 'ribet', 'banget', 'parah', 'si', 'bagus', 'citilink', 'deh', 'simple', 'ribet', 'suruh', 'trus', 'an', 'isi', 'nggu', 'otp', 'email', 'tolong', 'diupdate']",1,24,6.12.0,2025-01-22 04:37:53,,
nice,nice,nice,nice,['nice'],4,0,,2025-01-22 03:46:19,,
